"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Rina";"rosso";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001330531"
"W4tler Eisbär";"schwarz, Fell grau";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000501550"
"Falter";"stone";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001197219"
"Phönix";"Sonderbestellung";"E";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000001258521"
"Kommod Flex";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000000901633"
"Tramper Flex";"jaques dunkelbraun";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000112572"
"GGG Art S1";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990286"
"GGG Wüdling";"Olive";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001299746"
"W4tler Eisbär";"jaques dunkelbraun";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474076"
"Air Line";"türkis";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001454244"
"GN Kletter";"weiche Sohle rose";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000803678"
"Alles Klar";"weinrot";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213780"
"Rückenwind";"schlehe";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001198643"
"Papallona";"tric. Paris";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000984650"
"Tramper mit Vario-Fußbett";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000950099"
"ViaVia";"weinrot";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197721"
"GN Winterschuh";"blau";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000620237"
"Black Panther";"monks robe";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001327845"
"Ansa";"jaques dunkelbraun";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178201"
"Klox";"kiwi";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001241103"
"Tramper Flex";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111919"
"Flexwind";"josta";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001213247"
"ViaVia";"mocha";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001357866"
"Alles Klar";"weinrot";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213735"
"Wind";"soft black";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000184876"
"W4tler Eisbär";"schwarz, Fell grau";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502335"
"Jaga Flex";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895543"
"Eight days a week Damen";"timber";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001174982"
"Wirbelwind";"nougat";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304372"
"GN Winterstiefel";"shadow/timber";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001210871"
"Phönix";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894898"
"Simba";"türkis";"1";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"21,00 €";"2000001159507"
"Klox";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909035"
"Mustang";"nougat";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001306444"
"Frau Neuner";"Olive";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001276983"
"G10 Twiga";"rose";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798578"
"ViaVia";"mocha";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001357828"
"Phönix";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647050"
"Ansa";"jaques schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148631"
"Sommersperber";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000992471"
"GGG Little Trampa";"Olive";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210147"
"Lerche";"schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390130"
"Rückenwind";"timber";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194812"
"Jaga Flex";"jaques schwarz";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166995"
"Ansa";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178133"
"Flexwind";"josta";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001213209"
"G10 Wingu 35-40";"flachs neu";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000904870"
"GGG Art 9";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000906874"
"Air Danubius";"crazy blue";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001454169"
"G10 Chui";"froschgrün";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001277935"
"Lucy in the Sky Herren";"timber";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001304747"
"Air Line";"türkis";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001454237"
"GGG Art 10";"flachs neu";"1";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000000902425"
"Stiefel Filzi";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001213360"
"GN Kletter";"weiche Sohle treetop";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001358825"
"Rosa Lux";"nougat";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001105962"
"Romy";"rosa ceresa";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202692"
"G10 Chui";"orange";"1";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001456293"
"Ansa";"jaques dunkelbraun";"H";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178096"
"Kommod Flex";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000043753"
"Tramper Flex";"rost";"F";"42";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"84,50 €";"2000001298404"
"G10 Chui";"flachs neu";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000901893"
"Bronco";"Schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001298763"
"G10 Chui";"orange";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001456262"
"GGG Art S2";"rosa ceresa";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001071816"
"Klox";"crazy blue";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001457634"
"GN Kletter";"weiche Sohle flachs new";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320686"
"Lerche";"schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390192"
"Tramper Flex";"jaques schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960111"
"Bronca";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001159347"
"GN Sandale";"flachs neu";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000923468"
"ViaVia";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308240"
"Ansa";"kiwi";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001276402"
"Frau Neuner";"Curry";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001277010"
"Romy";"timber";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001202609"
"GN Schnürer";"weiche Sohle flachs new";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320815"
"Kommod Flex";"jaques dunkelbraun";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044477"
"Ansa";"pink";"F";"37";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"84,50 €";"2000001280041"
"Flexwind";"timber";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001213063"
"Ronny";"flachs new";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001459140"
"Mustang";"Schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160169"
"Tramper Flex";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111131"
"GGG Wüdling";"aubergine";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001210567"
"GGG Pony";"Olive";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001299500"
"Frau Sommer";"Curry";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001456064"
"Black Panther";"kohle";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001029121"
"Phönix mit Vario-Fußbett";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000037516"
"Sommerphönix";"agave";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000988122"
"Klox";"mocca";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001300480"
"Flexwind";"timber";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001213094"
"Tramper Flex";"jaques dunkelbraun";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111612"
"Tanzwunder";"schwarz";"H";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000925523"
"GGG Pony";"Olive";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"3";"Paar";"144,00 €";"2000001299531"
"Tramper Flex";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000112879"
"Lerche";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000389837"
"Flexwind";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001269282"
"Kommod Flex";"schwarz";"F";"41";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"69,50 €";"2000000041391"
"Wirbelwind";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000964065"
"GN Winterschuh";"flachs neu";"0";"19";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907116"
"Klox";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000222257"
"GGG Art 10";"rosa ceresa";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001021477"
"GN Sandale";"azur";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001205921"
"G10 Twiga";"shadow";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001103586"
"GGG Art 10";"ginko/zirbe";"1";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001021514"
"Kommod Flex";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000902159"
"Wirbelwind";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000964096"
"Mustang";"hellgrau";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001458532"
"G10 Nie mehr kalt";"braun";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001305249"
"Frau Neuner";"blattgrün";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001200360"
"GGG Art 10";"jaques dunkelbraun";"1";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000000610092"
"G10 Twiga";"rose";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798424"
"GGG Little Trampa";"Olive";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210161"
"Kommod Flex";"jaques dunkelbraun";"H";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000043814"
"GN Kletter";"weiche Sohle schlehe";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001355510"
"GGG Art S1";"türkis";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001457092"
"GGG Art S1";"flachs neu";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990330"
"Sommertramper";"schoko";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068731"
"W4tler Eisbär";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474137"
"Rückenwind";"timber";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194874"
"Kommod Classic";"rose";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"33,61 €";"2000001348291"
"Phönix";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000630618"
"Klox";"mocca";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001300381"
"Wilderer";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"232,00 €";"2000000563237"
"Bronco";"Schwarz";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001298848"
"VIA Andante";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176429"
"Rina";"rosso";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001330487"
"Sommertramper";"schoko";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068861"
"Phönix";"schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646817"
"Madame Wunder 21";"rosso";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001206676"
"ViaVia";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308288"
"Wilderer";"schoko";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960487"
"Wilderer";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000546438"
"Rückenwind Vegan";"Grau";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001021682"
"Kommod Flex";"schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000041414"
"Klox";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909295"
"Jaga Flex";"jaques schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000167237"
"Kommod Flex";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000042015"
"Lerche";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390079"
"GGG Art 10";"rosa ceresa";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001021484"
"Jaga Flex";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163338"
"Mustang";"shadow";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160350"
"Phönix mit Vario-Fußbett";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000037998"
"GN Winterstiefel";"violett";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001299944"
"Tramper Flex";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111193"
"Rückenwind";"ultramarine";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001246368"
"Klox";"barrel";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001458167"
"Black Panther";"hellgrau";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001454558"
"Kommod Classic";"Schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207612"
"Rosa Lux";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000911953"
"Ansa";"jaques dunkelbraun";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178171"
"Wind";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000914251"
"Mustang";"Olive";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001199183"
"GN Sandale";"weiche Sohle türkis";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001457344"
"GN Sandale";"weiche Sohle rose";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000805320"
"Tramper Flex";"denim";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001218020"
"Phönix";"jaques dunkelbraun";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631752"
"W4tler Eisbär";"schwarz, Fell grau";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502212"
"Alles Klar";"schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213643"
"Jaga Flex";"flachs neu";"F";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895390"
"Kommod Flex";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000043876"
"Ansa";"jaques dunkelbraun";"H";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001177990"
"Romy";"strohblume";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001458983"
"Kommod Classic";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000203959"
"Tramper Flex";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111254"
"Phönix";"schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647234"
"Klox";"crazy blue";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001457757"
"Phönix";"jaques dunkelbraun";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631219"
"GGG Wüdling";"blau";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001210499"
"GN Sandale";"weiche Sohle rose";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000805351"
"Phönix";"jaques dunkelbraun";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000630977"
"Phönix";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646398"
"Klox";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000908991"
"Rückenwind";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964591"
"GN Kletter";"weiche Sohle flachs new";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320648"
"W4tler Eisbär";"jaques dunkelbraun";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474618"
"Rückenwind";"timber";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194782"
"Phönix";"jaques dunkelbraun";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000632056"
"GGG Wüdling";"blau";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001210482"
"Kommod Classic";"Schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207551"
"Mustang";"Schwarz";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160121"
"Tramper Flex";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111377"
"G10 Nie mehr kalt";"shadow/kimber";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209738"
"G10 Nie mehr kalt";"shadow/kimber";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209691"
"Phönix";"ocean";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000675374"
"GN Sandale";"weiche Sohle türkis";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001457368"
"Ansa";"josta";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001240540"
