"Artikel";"Variante";"Leiste";"Grˆﬂe";"Qualit‰t";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Groﬂhandelspreis";"EAN"
"Ansa";"calla";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001455616"
"ViaVia";"schlehe";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001197899"
"Ansa";"pull up braun";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001454312"
"Wilderer";"schoko";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000965123"
"Phˆnix";"schwarz";"H";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000647838"
"G10 Chui";"rose";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797731"
"Stiefel Filzi";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000001213360"
"Lady JaJa";"mocha";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"88,50 Ä";"2000001356746"
"Eight days a week Herren";"flachs neu";"G";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001190883"
"Wirbelwind Vegan";"Grau";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000000999210"
"Air Danubius";"crazy blue";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001454152"
"ViaVia";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001308356"
"Wilderer";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"232,00 Ä";"2000000547152"
"G10 Chui";"froschgr¸n";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001277904"
"GN Winterstiefel";"rosa ceresa";"0";"23";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001008317"
"Kommod Flex";"schwarz";"H";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000042732"
"Frau Wohle";"weinrot";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001195055"
"Mustang";"Olive";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001199145"
"GN Schn¸rer";"weiche Sohle flachs new";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001320778"
"R¸ckenwind";"timber";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194874"
"ViaVia";"schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001308325"
"G10 Chui";"orange";"1";"35";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001456286"
"GN Schn¸rer";"weiche Sohle flachs new";"0";"25";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001320808"
"Tramper Flex";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"196,00 Ä";"2000000111438"
"warmer Wind";"nougat";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"121,00 Ä";"2000001212875"
"Falter";"rose";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001196687"
"Tramper Flex";"jaques dunkelbraun";"H";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000112695"
"G10 Chui";"flachs neu";"1";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000000901763"
"Klox";"josta";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"66,00 Ä";"2000001065921"
"Phˆnix";"flachs neu";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000894867"
"Sommertramper";"schoko";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001068816"
"Bronco";"Schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001298824"
"Frau Neuner";"stone";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"88,00 Ä";"2000001240953"
"Falter";"stone";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001197165"
"Frau Wohle";"camel";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001277119"
"Bronco";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001159422"
"Flexwind";"timber";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001212981"
"GGG Art 9";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000000906850"
"Herr Neuner";"mocha";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001457573"
"R¸ckenwind";"denim";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001075388"
"GN Winterstiefel";"shadow/timber";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001210871"
"GGG Art 9";"flachs neu";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"96,00 Ä";"2000000906898"
"Kommod Flex";"ocker";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001464854"
"R¸ckenwind";"nougat";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001302088"
"Lord Slane Flex";"schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000077352"
"Mustang";"camel";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001277546"
"Sommertramper";"schoko";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"188,00 Ä";"2000001068731"
"GN Schn¸rer";"flachs neu";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000000907055"
"G10 Chui";"rose";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797649"
"Lerche";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"150,00 Ä";"2000000390499"
"Frau Wohle";"Schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001193235"
"Frau Wohle";"weinrot";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001195086"
"R¸ckenwind";"denim";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001075494"
"GN Winterstiefel";"violett";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001299944"
"Kommod Flex";"calla";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001180952"
"GGG Art 10";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000000902562"
"Jaga Flex";"jaques schwarz";"F";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"224,00 Ä";"2000000166995"
"GN Kletter";"weiche Sohle Azur";"0";"21";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001210659"
"G10 Chui";"froschgr¸n";"1";"35";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001277966"
"Jaga Flex";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000163932"
"Herr Neuner";"Olive";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001277188"
"Kommod Flex";"schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000041056"
"Klox";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"66,00 Ä";"2000000909257"
"Wind";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000914312"
"Lord Slane Flex";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000077475"
"GGG Little Trampa";"Olive";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001210161"
"Sommersperber";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000000992358"
"Eiswind";"crazy blue";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"178,00 Ä";"2000001358641"
"Phˆnix";"jaques dunkelbraun";"H";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000632117"
"G10 Twiga";"rose";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"88,00 Ä";"2000000798608"
"Ansa";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"196,00 Ä";"2000001356166"
"Eight days a week Herren";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001190869"
"G10 Twiga";"flachs neu";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000000901343"
"Bronca";"pepper";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001184639"
"GN Schn¸rer";"weiche Sohle rose";"0";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"69,00 Ä";"2000001229958"
"GN Kletter";"weiche Sohle treetop";"0";"23";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001358818"
"ViaVia";"Weiﬂ";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"240,00 Ä";"2000001461624"
"Jaga Flex";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000163994"
"Flexwind";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001269367"
"Rosa Lux";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000911953"
"W4tler Eisb‰r";"schwarz, Fell grau";"F";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000502038"
"Ronny";"schlehe";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001204986"
"Kommod Classic";"Schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000000207919"
"Sommertramper";"froschgr¸n";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001351239"
"Kommod Flex";"calla";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001180969"
"GGG Art 10";"rosa ceresa";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001021484"
"Rosa Lux";"nougat";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001105979"
"Phˆnix";"schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000647234"
"VIA Andante";"mocha";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001357576"
"Wirbelwind";"Olive";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001198926"
"Wilderer";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000001303559"
"R¸ckenwind";"orange chili";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001460399"
"Kommod Classic";"Schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000000208213"
"Tramper Flex";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000095530"
"Wirbelwind";"Weiﬂ";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001461655"
"Tramper Flex";"schwarz";"F";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000096070"
"GGG Art 10";"denim";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001103890"
"Mustang";"Schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001160053"
"Flexwind";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001269305"
"GN Winterstiefel";"violett";"0";"21";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001299937"
"Ansa";"josta";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"97,50 Ä";"2000001240632"
"G10 Chui";"rose";"1";"27";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797557"
"R¸ckenwind";"strohblume";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001459393"
"R¸ckenwind";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000964416"
"R¸ckenwind";"orange chili";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"160,00 Ä";"2000001460320"
"R¸ckenwind";"nougat";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001302019"
"Flexwind";"timber";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"206,00 Ä";"2000001213117"
"Madame Wunder 21";"rosso";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001206638"
"GGG Art 10";"rosa ceresa";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001021453"
"Sommersperber";"denim";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000001074626"
"GN Winterstiefel";"violett";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001299982"
"G10 Chui";"froschgr¸n";"1";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001277980"
"Sommertramper";"schoko";"G";"47";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001068687"
"R¸ckenwind";"schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001468456"
"Ansa";"jaques schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001148525"
"GGG Art 10";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000000905211"
"R¸ckenwind";"timber";"G";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194904"
"Ronny";"flachs new";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001459157"
"Papallona";"tric. nuss";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000000820446"
"Ansa";"timber";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"97,50 Ä";"2000001195369"
"Wirbelwind";"flachs neu";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000000963945"
"Jaga Flex";"jaques schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000166391"
"Tramper Flex";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000112756"
"Ansa";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001178003"
"G10 Chui";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000904238"
"GN Schn¸rer";"weiche Sohle rose";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000000804187"
"GGG W¸dling";"Olive";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001299708"
"G10 Chui";"froschgr¸n";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001277935"
"Madame Wunder 21";"rosso";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001206652"
"Air Danubia";"schlehe";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001204382"
"R¸ckenwind";"begonia";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001459874"
"R¸ckenwind";"orange chili";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001460429"
"GN Kletter";"weiche Sohle rose";"0";"21";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"69,00 Ä";"2000000803616"
"S¸dpol";"mocha";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000001357286"
"GN Schn¸rer";"weiche Sohle Azur";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001206140"
"Air Danubia";"sesam";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001341582"
"Black Panther";"kohle";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"150,00 Ä";"2000001029138"
"GGG W¸dling";"Olive";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"50,00 Ä";"2000001299746"
"Mustang";"nougat";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001306369"
"GGG W¸dling";"blau";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001210499"
"Tramper Flex";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000111797"
"Romy";"mais";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001278680"
"Ronny";"flachs new";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001459140"
"GGG W¸dling";"Olive";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"50,00 Ä";"2000001299739"
"G10 Chui";"flachs neu";"1";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000000901879"
"GGG Art S2";"shadow";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"90,00 Ä";"2000001241592"
"Ansa";"calla";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001455685"
"GN Winterstiefel";"flachs neu";"0";"21";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000907475"
"G10 Twiga";"azur";"1";"27";"QS";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"29,50 Ä";"2000001281178"
"GN Kletter";"flachs neu";"0";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001029367"
"Wilderer";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000546438"
"Ansa";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001356159"
"Ansa";"kiwi";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001276440"
"Kommod Flex";"calla";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"160,00 Ä";"2000001180983"
"Eiswind";"crazy blue";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000001358665"
"Flexwind";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001269398"
"R¸ckenwind";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194881"
"Wirbelwind";"nougat";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001304280"
"Lerche";"braun";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000001301517"
"S¸dpol";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000914152"
"Sommertramper";"rosso";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001461310"
"G10 Chui";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000904214"
"GGG W¸dling";"blau";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"114,00 Ä";"2000001210529"
"Papallona";"tric. Paris";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000000984636"
"Jaga Flex";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000895574"
"Madame Wunder 21";"rosso";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001206621"
"R¸ckenwind";"jaques schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000964584"
"G10 Twiga";"smoke";"1";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"53,00 Ä";"2000001456620"
"Flexwind";"timber";"G";"48";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001213155"
"Tramper Flex";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"196,00 Ä";"2000000111919"
"Ansa";"calla";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001455654"
